Host,Datacenter,Cluster,Port Group,Switch,VLAN,Promiscuous Mode,Mac Changes,Forged Transmits,Traffic Shaping,Width,Peak,Burst,Policy,Reverse Policy,Notify Switch,Rolling Order,Offload,TSO,Zero Copy Xmit,VI SDK Server,VI SDK UUID
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S3-SRV-4075,VM,4075,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S3-SRV-4074,VM,4074,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S1-SRV-2085,VM,2085,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S1-SRV-2075,VM,2075,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S1-SRV-2074,VM,2074,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3076,VM,3076,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3073,VM,3073,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3079,VM,3079,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3077,VM,3077,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3074,VM,3074,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
