VM,Powerstate,Template,SRM Placeholder,CPUs,Sockets,Cores p/s,Max,Overall,Level,Shares,Reservation,Entitlement,DRS Entitlement,Limit,Hot Add,Hot Remove,Numa Hotadd Exposed,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
T-APP-INFOREDESTI-01,poweredOn,False,,2,2,2,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
P-WEBWORK-01,poweredOn,False,,2,2,1,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
P-APP-ANSIBLE-OL9-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-NTP-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-BAN9-APP-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-FIN-MS-01,poweredOn,False,,8,8,8,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-ACR-CLOUD-02,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-EDUROAM-01,poweredOn,False,,4,4,1,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-WWW4-OL-01,poweredOff,False,,8,8,1,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-BAN9-SSB-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-IMP-GW-WAF-01A,poweredOn,False,,16,16,1,,,,16000,0,,,-1,,,,,,,,,,,,,,,,,
P-WS-EXT-02,poweredOn,False,,12,12,12,,,,12000,0,,,-1,,,,,,,,,,,,,,,,,
P-ACR-CLOUD-01,poweredOn,False,,4,4,1,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-EXPEDITION-PA-01,poweredOn,False,,2,2,1,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
P-ZB-HAPROXY-01,poweredOn,False,,12,12,1,,,,12000,0,,,-1,,,,,,,,,,,,,,,,,
P-QUALYS-SCAN-01,poweredOn,False,,6,6,6,,,,6000,0,,,-1,,,,,,,,,,,,,,,,,
P-FW-INV-01,poweredOn,False,,2,2,2,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
P-CUSTOM-OLNX-01,poweredOn,False,,8,8,8,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-ZB-DB-01,poweredOn,False,,16,16,16,,,,16000,0,,,-1,,,,,,,,,,,,,,,,,
S2-P-AD-DS-04,poweredOn,False,,8,8,2,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
S2-P-ZB-DB-01,poweredOff,False,,4,4,1,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
S2-P-ZB-FE-01-S,poweredOff,False,,4,4,2,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
S-ACR-CLOUD-01,poweredOn,False,,4,4,1,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
S3-LNX-ROUTER-01,poweredOn,False,,2,2,1,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
S3-PA-02,poweredOn,False,,2,2,2,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
S1-P-PA-02,poweredOff,False,,2,2,2,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
S2-PA-01,poweredOn,False,,6,6,2,,,,6000,0,,,-1,,,,,,,,,,,,,,,,,
S-WIN-TEST,poweredOn,False,,2,2,2,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
S2-LNX-ROUTER-01,poweredOn,False,,2,2,1,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
T-EVE-01,poweredOn,False,,10,10,10,,,,10000,0,,,-1,,,,,,,,,,,,,,,,,
S2-P-NG-01_1,poweredOff,False,,12,12,1,,,,12000,0,,,-1,,,,,,,,,,,,,,,,,
T-GITLAB-OLNX-01,poweredOn,False,,4,4,2,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-BAN-APP-04,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-ACR-CLOUD-01,poweredOn,False,,4,4,1,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-BAN-BEPBRIM-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-VM-PA-01,poweredOn,False,,12,12,2,,,,12000,0,,,-1,,,,,,,,,,,,,,,,,
D-CUSTOM-01,poweredOn,False,,8,8,8,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
T-FIN-MS-01,poweredOn,False,,2,2,2,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
T-POC-LUMU-01,poweredOff,False,,4,4,1,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-BAN-APP-05,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-ANS-01,poweredOn,False,,2,2,2,,,,2000,0,,,1500,,,,,,,,,,,,,,,,,
T-WIN-02,poweredOn,False,,2,2,2,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
T-BAN-ADMP-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-WIN-10,poweredOn,False,,4,4,2,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-BAN-SSB-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
D-CUSTOM-02,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-ACR-CLOUD-02,poweredOn,False,,4,4,1,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-BAN-APP-06,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
D-HUBI-LNX-02,poweredOn,False,,8,8,8,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
T-BAN-BATCH-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-BAN-APP-02,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-BAN-APP-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-ORPHEUS-01,poweredOff,False,,12,12,1,,,,12000,0,,,-1,,,,,,,,,,,,,,,,,
T-BAN-APP-03,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-WIN-ADM-01,poweredOff,False,,4,4,2,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-BAN-ETHOS-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-RESERVAS-C7-01,poweredOn,False,,2,2,2,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
T-BAN-ESM-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-APP-REDCAP-OLN-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-HUBI-PYTHON-OLNX-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
