VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspended To Memory,Suspend time,Suspend Interval,Creation date,Change Version,CPUs,Overall Cpu Readiness,Memory,Active Memory,NICs,Disks,Total disk capacity MiB,Fixed Passthru HotPlug,min Required EVC Mode Key,Latency Sensitivity,Op Notification Timeout,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder ID,Folder,vApp,DAS protection,FT State,FT Role,FT Latency,FT Bandwidth,FT Sec. Latency,Vm Failover In Progress,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Reboot PowerOff,EFI Secure boot,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,Customization Info,Guest Detailed Data,VM ID,SMBIOS UUID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID
dvportgroup-1652,poweredOn,False,,,,connected,running,,False,2025-12-10T16:56:47.998109+00:00,,,0,2025-04-24 20:09:28.432536+00:00,2025-12-19T21:05:40.293859Z,2,,3072,1167,1,1,40960,,,,,,,172.21.77.33,dvportgroup-1652,,,,,,,,,,Resources,group-v4,vm,,,notConfigured,,,,,,88155,67889,61654,,,,,,,0,10000,False,False,False,True,efi,vmx-21,,,,[FS1-P-ESX-VM-03] T-APP-INFOREDESTI-01/T-APP-INFOREDESTI-01.vmx,[FS1-P-ESX-VM-03] T-APP-INFOREDESTI-01/,[FS1-P-ESX-VM-03] T-APP-INFOREDESTI-01/,[FS1-P-ESX-VM-03] T-APP-INFOREDESTI-01/,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,vm-9526,42067476-c352-ef98-7594-35b81b2c30d3,42067476-c352-ef98-7594-35b81b2c30d3,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,5006e920-f09c-5c33-7075-273be9e1f17a
dvportgroup-1646,poweredOn,False,,,,connected,running,,False,2025-11-04T05:22:41.998109+00:00,,,0,2024-12-12 16:02:28.713646+00:00,2025-12-06T08:04:01.361604Z,2,,16384,327,1,2,112640,,,,,,,172.21.67.35,dvportgroup-1646,,,,,,,,,,Resources,group-v4,vm,,,notConfigured,,,,,,304036,201354,147880,,,,,,,0,10000,False,False,False,False,bios,vmx-20,,,,[FS1-P-ESX-VM-01] P-WEBWORK-01/P-WEBWORK-01.vmx,[FS1-P-ESX-VM-01] P-WEBWORK-01/,[FS1-P-ESX-VM-01] P-WEBWORK-01/,[FS1-P-ESX-VM-01] P-WEBWORK-01/,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,Ubuntu Linux (64-bit),,,,vm-5908,42060956-1839-0cd6-d84d-efaca69e9825,42060956-1839-0cd6-d84d-efaca69e9825,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,50061de6-e924-120b-dacc-5c88f6f8e049
dvportgroup-1650,poweredOn,False,,,,connected,running,,False,2025-11-04T05:05:13.998109+00:00,,,0,2025-05-27 20:52:15.640050+00:00,2025-07-31T20:16:14.696531Z,4,,8192,81,1,1,61440,,,,,,,172.21.74.84,dvportgroup-1650,,,,,,,,,,Resources,group-v4,vm,,,notConfigured,,,,,,174915,133344,92257,,,,,,,0,10000,False,False,False,True,efi,vmx-21,,,,[FS1-P-ESX-VM-02] P-APP-ANSIBLE-OL9-01/P-APP-ANSIBLE-OL9-01.vmx,[FS1-P-ESX-VM-02] P-APP-ANSIBLE-OL9-01/,[FS1-P-ESX-VM-02] P-APP-ANSIBLE-OL9-01/,[FS1-P-ESX-VM-02] P-APP-ANSIBLE-OL9-01/,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,vm-11085,4206a49f-49dd-99f2-d46b-08a94272ff1a,4206a49f-49dd-99f2-d46b-08a94272ff1a,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,500636c5-4294-5300-4091-6f448efdbb58
dvportgroup-1652,poweredOn,False,,,,connected,running,,False,2025-11-04T04:30:21.998109+00:00,,,0,2024-11-11 17:36:50.560185+00:00,2025-12-23T04:06:09.424157Z,4,,8192,1146,1,1,20480,,,,,,,172.21.77.20,dvportgroup-1652,,,,,,,,,,Resources,group-v23,SEGURIDAD-VM-PRODUCCION,,,notConfigured,,,,,,28762,28762,20480,,,,,,,0,10000,False,False,False,True,efi,vmx-21,,,,[FS1-P-ESX-VM-02] P-NTP-01(N)/P-NTP-01(N).vmx,[FS1-P-ESX-VM-02] P-NTP-01(N)/,[FS1-P-ESX-VM-02] P-NTP-01(N)/,[FS1-P-ESX-VM-02] P-NTP-01(N)/,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,vm-5026,42060295-28eb-4f14-9706-8c5dece257c7,42060295-28eb-4f14-9706-8c5dece257c7,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,5006fa9c-8fb7-0255-7cdc-79659c7901e0
dvportgroup-1653,poweredOn,False,,,,connected,running,,False,2025-11-04T05:06:22.998109+00:00,,,0,2024-10-23 21:21:32.129289+00:00,2025-12-10T03:04:25.447014Z,4,,16384,2949,1,3,245760,,,,,,,172.21.85.211,dvportgroup-1653,,,,,,,,,,Resources,group-v16,INFRA-VM-PRODUCCION-BANNER,,,notConfigured,,,,,,583000,374144,341277,,,,,,,0,10000,False,False,False,True,efi,vmx-21,,,,[FS1-P-ESX-VM-02] P-BAN9-APP-01/P-BAN9-APP-01.vmx,[FS1-P-ESX-VM-02] P-BAN9-APP-01/,[FS1-P-ESX-VM-02] P-BAN9-APP-01/,[FS1-P-ESX-VM-02] P-BAN9-APP-01/,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,vm-3724,42062aab-a682-e143-4ed7-0b9c839f923f,42062aab-a682-e143-4ed7-0b9c839f923f,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,500623e9-5114-4189-395b-c66cf9fb341b
dvportgroup-1643,poweredOn,False,,,,connected,running,,False,2025-11-04T14:39:49.998109+00:00,,,0,2023-01-16 17:47:14.451150+00:00,2025-12-19T00:05:34.820386Z,8,,16384,2621,1,1,112647,,,,,,,172.21.80.15,dvportgroup-1643,,,,,,,,,,Resources,group-v26,Discovered virtual machine,,,notConfigured,,,,,,360330,296366,230566,,,,,,,0,10000,False,False,False,False,bios,vmx-21,,,,[FS1-P-ESX-VM-07] P-FIN-MS-01/P-FIN-MS-01.vmx,[FS1-P-ESX-VM-07] P-FIN-MS-01/,[FS1-P-ESX-VM-07] P-FIN-MS-01/,[FS1-P-ESX-VM-07] P-FIN-MS-01/,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,Other 2.6.x Linux (64-bit),,,,vm-1307,423459e8-1fbc-2090-dbef-fd283b0431d3,423459e8-1fbc-2090-dbef-fd283b0431d3,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,5034add2-ac81-216e-053c-08a30d61758e
VM Network,poweredOn,False,,,,connected,running,,False,2025-11-10T17:18:11.998109+00:00,,,0,2025-04-15 10:14:03.478913+00:00,2025-12-23T04:07:42.451566Z,4,,16384,163,1,3,25600,,,,,,,10.78.78.152,VM Network,,,,,,,,,,Resources,group-v4,vm,,,notConfigured,,,,,,42087,42087,25600,,,,,,,0,10000,False,False,False,False,bios,vmx-21,,,,[FS1-P-ESX-VM-07] P-ACR-CLOUD-02_1/P-ACR-CLOUD-02.vmx,[FS1-P-ESX-VM-07] P-ACR-CLOUD-02_1/,[FS1-P-ESX-VM-07] P-ACR-CLOUD-02_1/,[FS1-P-ESX-VM-07] P-ACR-CLOUD-02_1/,{AB53A0F1-AD54-480f-80BB-FC72DC41DF53},,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,Other 3.x Linux (64-bit),,,,vm-9251,4206f175-54b6-45bb-20b7-d90798d58cc1,4206f175-54b6-45bb-20b7-d90798d58cc1,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,50064f43-8cb3-1d7f-7567-b863ad07290b
dvportgroup-1651,poweredOn,False,,,,connected,running,,False,2025-11-04T04:56:52.998109+00:00,,,0,2024-01-03 16:29:09.524639+00:00,2025-11-30T00:02:59.788294Z,4,,2048,204,1,1,40975,,,,,,,172.21.75.10,dvportgroup-1651,,,,,,,,,,Resources,group-v4,vm,,,notConfigured,,,,,,63181,27259,22917,,,,,,,0,10000,False,False,False,False,bios,vmx-11,,,,[FS1-P-ESX-VM-04] P-EDUROAM-01/P-EDUROAM-01.vmx,[FS1-P-ESX-VM-04] P-EDUROAM-01/,[FS1-P-ESX-VM-04] P-EDUROAM-01/,[FS1-P-ESX-VM-04] P-EDUROAM-01/,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,CentOS 4/5/6/7 (64-bit),,,,vm-486,42342884-1f74-7bda-90b4-619b118cfedf,42342884-1f74-7bda-90b4-619b118cfedf,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,50342bc5-0f8c-9110-4273-2b30bccda3ce
dvportgroup-1651,poweredOff,False,,,,connected,notRunning,,False,,,,0,2023-01-03 19:15:44.837434+00:00,2025-12-06T08:03:54.738533Z,8,,32768,0,1,2,317454,,,,,,,,dvportgroup-1651,,,,,,,,,,Resources,group-v4,vm,,,notConfigured,,,,,,619238,319619,319391,,,,,,,0,10000,False,False,False,False,bios,vmx-21,,,,[FS1-P-ESX-VM-07] P-WWW4-OL-01/P-WWW4-OL-01.vmx,[FS1-P-ESX-VM-07] P-WWW4-OL-01/,[FS1-P-ESX-VM-07] P-WWW4-OL-01/,[FS1-P-ESX-VM-07] P-WWW4-OL-01/,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,Other 2.6.x Linux (64-bit),,,,vm-557,423414cd-aeed-c317-2ad7-3319b1676ae3,423414cd-aeed-c317-2ad7-3319b1676ae3,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,5034f0ec-7c95-9bf9-5036-c0c054e33a86
dvportgroup-1653,poweredOn,False,,,,connected,running,,False,2025-11-04T05:05:48.998109+00:00,,,0,2024-10-23 21:10:47.835452+00:00,2025-12-10T03:04:32.830733Z,4,,16384,1146,1,3,245760,,,,,,,172.21.85.202,dvportgroup-1653,,,,,,,,,,Resources,group-v16,INFRA-VM-PRODUCCION-BANNER,,,notConfigured,,,,,,564819,348398,315532,,,,,,,0,10000,False,False,False,True,efi,vmx-21,,,,[FS1-P-ESX-VM-04] P-BAN9-SSB-01/P-BAN9-SSB-01.vmx,[FS1-P-ESX-VM-04] P-BAN9-SSB-01/,[FS1-P-ESX-VM-04] P-BAN9-SSB-01/,[FS1-P-ESX-VM-04] P-BAN9-SSB-01/,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,vm-3722,4206e807-646e-e6a5-5535-9f6f2415dbc4,4206e807-646e-e6a5-5535-9f6f2415dbc4,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,50063bdb-e4e3-453b-9e0c-060279d231c7
dvportgroup-1654,poweredOn,False,,,,connected,running,,False,2025-11-04T04:45:10.998109+00:00,,,0,2023-04-05 20:24:58.962037+00:00,2025-12-21T02:27:10.634409Z,16,,32768,655,4,1,163840,,,,,,,172.21.76.254,dvportgroup-1654,dvportgroup-1654,dvportgroup-1654,dvportgroup-1654,,,,,,,Resources,group-v23,SEGURIDAD-VM-PRODUCCION,,,notConfigured,,,,,,188543,188543,163840,,,,,,,0,10000,False,False,False,False,bios,vmx-10,,,,[FS1-P-ESX-VM-06] P-IMP-GW-WAF-01A/P-IMP-GW-WAF-01A.vmx,[FS1-P-ESX-VM-06] P-IMP-GW-WAF-01A/,[FS1-P-ESX-VM-06] P-IMP-GW-WAF-01A/,[FS1-P-ESX-VM-06] P-IMP-GW-WAF-01A/,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,Red Hat Enterprise Linux 7 (64-bit),,,,vm-8042,4234e3fe-e59c-c432-e72a-0f75d584974a,4234e3fe-e59c-c432-e72a-0f75d584974a,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,50343155-adb2-2c0a-d6d8-faeadf2678a4
dvportgroup-1650,poweredOn,False,,,,connected,running,,False,2025-12-22T11:50:46.998109+00:00,,,0,2023-01-06 15:52:52.707382+00:00,2025-12-17T23:05:21.832331Z,12,,49152,4423,1,1,204800,,,,,,,172.21.74.43,dvportgroup-1650,,,,,,,,,,Resources,group-v23,SEGURIDAD-VM-PRODUCCION,,,notConfigured,,,,,,449300,322738,175154,,,,,,,0,10000,False,False,False,False,efi,vmx-21,,,,[FS1-P-ESX-VM-08] P-WS-EXT-02/P-WS-EXT-02.vmx,[FS1-P-ESX-VM-08] P-WS-EXT-02/,[FS1-P-ESX-VM-08] P-WS-EXT-02/,[FS1-P-ESX-VM-08] P-WS-EXT-02/,"Disks=000000010000000000000000,52 b2 77 af 77 99 7e 79-e6 b6 cc a6 4d 1b 25 63/1,\archpit(1AC998854F5B85CB05CDC996ED1045FF)\disk1_part1,2048,921600,\archpit(1AC998854F5B85CB05CDC996ED1045FF)\disk1_part2,923648,202752,\archpit(1AC998854F5B85CB05CDC996ED1045FF)\disk1_part3,1159168,265177088;
SliceId=1AC99885-85CB-4F5B-96C9-CD05FF4510ED
SourceArchive=10655756-3904-9215-A050-8CA59583D9BF
",,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,Microsoft Windows Server 2016 (64-bit),,,,vm-550,4234a6bd-bbb2-630e-3b66-b042170b6f25,4234a6bd-bbb2-630e-3b66-b042170b6f25,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,5034008a-fc5e-596b-1235-3db97af6af66
