VM,Powerstate,Template,SRM Placeholder,NIC label,Adapter,Network,Switch,Connected,Starts Connected,Mac Address,Type,IPv4 Address,IPv6 Address,Direct Path IO,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-WORDPRESS-OL-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-TERCEROS-65,USFQ-DVS,True,True,,assigned,,,,P-WORDPRESS-OL-01 Network adapter 1,,,5034b711-1de6-b8e6-16b7-eeb5264af375,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Other 2.6.x Linux (64-bit),Oracle Linux 8 (64-bit),vm-8043,42344140-da18-e992-b982-9d5079604230,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-IMP-GW-WAF-02,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-WAF-73,USFQ-DVS,True,True,,assigned,,,,P-IMP-GW-WAF-02 Network adapter 1,,,50349212-063a-37bb-f5d0-65d66d75a8ab,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Red Hat Enterprise Linux 7 (64-bit),CentOS 7 (64-bit),vm-8102,4234bf1d-a3d6-6fdf-bf02-13c029de2aef,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-IMP-GW-WAF-02,poweredOn,False,FALSE,Network adapter 2,vim.vm.device.VirtualVmxnet3,V-SRV-WAF-73,USFQ-DVS,True,True,,assigned,,,,P-IMP-GW-WAF-02 Network adapter 2,,,50349212-063a-37bb-f5d0-65d66d75a8ab,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Red Hat Enterprise Linux 7 (64-bit),CentOS 7 (64-bit),vm-8102,4234bf1d-a3d6-6fdf-bf02-13c029de2aef,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-IMP-GW-WAF-02,poweredOn,False,FALSE,Network adapter 3,vim.vm.device.VirtualVmxnet3,V-SRV-WAF-73,USFQ-DVS,True,True,,assigned,,,,P-IMP-GW-WAF-02 Network adapter 3,,,50349212-063a-37bb-f5d0-65d66d75a8ab,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Red Hat Enterprise Linux 7 (64-bit),CentOS 7 (64-bit),vm-8102,4234bf1d-a3d6-6fdf-bf02-13c029de2aef,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-IMP-GW-WAF-02,poweredOn,False,FALSE,Network adapter 4,vim.vm.device.VirtualVmxnet3,V-SRV-WAF-73,USFQ-DVS,True,True,,assigned,,,,P-IMP-GW-WAF-02 Network adapter 4,,,50349212-063a-37bb-f5d0-65d66d75a8ab,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Red Hat Enterprise Linux 7 (64-bit),CentOS 7 (64-bit),vm-8102,4234bf1d-a3d6-6fdf-bf02-13c029de2aef,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-MONITOREO-UCS,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-64,USFQ-DVS,True,True,,assigned,,,,P-MONITOREO-UCS Network adapter 1,,,5006c2c7-9ef1-25c0-d9db-1cfb0c75e746,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-10203,4206d0f2-bac5-4653-23d3-6ee8d8273b29,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-ZB-PROXY-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualE1000,V-SRV-74,USFQ-DVS,True,True,,assigned,,,,P-ZB-PROXY-01 Network adapter 1,,,50348937-ecf3-568d-a70e-5645dcd02218,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Other 2.6.x Linux (64-bit),Oracle Linux 8 (64-bit),vm-1306,423480a9-b418-490f-7ee3-658fccfaf05c,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-BAN9-APP-04,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-BAN-85,USFQ-DVS,True,True,,assigned,,,,P-BAN9-APP-04 Network adapter 1,,,50065739-67d2-24ba-23e2-89f73432d509,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/INFRA-VM-PRODUCCION-BANNER,Oracle Linux 8 (64-bit),Oracle Linux 8 (64-bit),vm-3845,4206aefb-ab92-1593-0d5a-71d53f690314,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
T-APP-ORPHEUS-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-64,USFQ-DVS,True,True,,assigned,,,,T-APP-ORPHEUS-01 Network adapter 1,,,5006c9f6-f7ad-ef24-e08a-9d74b3bdce07,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-11203,4206ee32-c614-dd01-911c-3ac0c491754e,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-ACR-CLOUD-03,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,VM Network,vSwitch0,True,True,,assigned,,,,P-ACR-CLOUD-03 Network adapter 1,{AB53A0F1-AD54-480f-80BB-FC72DC41DF53},,500625ea-9235-da9f-baef-18997619a747,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,Other 3.x Linux (64-bit),Other 6.x or later Linux (64-bit),vm-12436,42065194-5ccd-be00-daa7-c5796f72e592,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
