VM,Powerstate,Template,SRM Placeholder,NIC label,Adapter,Network,Switch,Connected,Starts Connected,Mac Address,Type,IPv4 Address,IPv6 Address,Direct Path IO,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-BAN9-BATCH-01,poweredOn,False,,,Network adapter 2,V-SRV-BAN-85,,True,True,00:50:56:86:87:05,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-BAN9-APP-03,poweredOn,False,,,Network adapter 1,V-SRV-BAN-85,,True,True,00:50:56:86:d4:43,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-BAN9-ETHOS-01,poweredOn,False,,,Network adapter 1,V-SRV-BAN-85,,True,True,00:50:56:86:ab:4b,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-NSS-01,poweredOn,False,,,Network adapter 1,V-PUBLIC-192,,False,True,00:0c:29:7c:81:32,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-NSS-01,poweredOn,False,,,Network adapter 2,V-SRV-75,,False,True,00:0c:29:7c:81:3c,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-RADIUS-02,poweredOn,False,,,Network adapter 1,V-SRV-75,,True,True,00:50:56:b4:bd:31,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
T-FORTIDATA-01,poweredOn,False,,,Network adapter 1,V-SRV-64,,True,True,00:50:56:86:1b:72,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
T-FORTIDATA-01,poweredOn,False,,,Network adapter 2,V-SRV-64,,True,True,00:50:56:86:be:21,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
T-FORTIDATA-01,poweredOn,False,,,Network adapter 3,V-SWITCH-40,,False,True,00:50:56:86:3d:24,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
T-FORTIDATA-01,poweredOn,False,,,Network adapter 4,V-SWITCH-40,,False,True,00:50:56:86:51:38,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
T-FORTIDATA-01,poweredOn,False,,,Network adapter 5,V-SWITCH-40,,False,True,00:50:56:86:8a:aa,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-ZB-PROXY-OL9-02,poweredOn,False,,,Network adapter 1,V-SRV-74,,False,False,00:50:56:86:bf:e0,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
T-DB-GALERA-OL95-02,poweredOn,False,,,Network adapter 1,V-SRV-64,,True,True,00:50:56:86:4a:ba,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-BIBREPO-OLNX-01,poweredOn,False,,,Network adapter 1,V-SRV-75,,True,True,00:50:56:b4:f3:58,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-DB-GALERA-OL9-02,poweredOn,False,,,Network adapter 1,V-SRV-TERCEROS-65,,True,True,00:50:56:86:b0:b7,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-DB-GALERA-OL9-03,poweredOn,False,,,Network adapter 1,V-SRV-TERCEROS-65,,True,True,00:50:56:86:64:58,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-WWW4-OL-01-NEW,poweredOn,False,,,Network adapter 1,V-SRV-75,,True,True,00:50:56:86:71:bf,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
T-DB-GALERA-OL95-03,poweredOn,False,,,Network adapter 1,V-SRV-64,,True,True,00:50:56:86:9a:de,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-VC-01,poweredOn,False,,,Network adapter 1,VM Network,,True,True,00:50:56:8f:0f:cc,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-MOODLE-OL-03,poweredOn,False,,,Network adapter 1,V-SRV-75,,True,True,00:50:56:b4:19:ec,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-AD-DS-06,poweredOn,False,,,Network adapter 1,V-SRV-75,,True,True,00:50:56:b4:ee:3a,vim.vm.device.VirtualE1000e,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-BAN9-APP-05,poweredOn,False,,,Network adapter 1,V-SRV-BAN-85,,True,True,00:50:56:86:f8:5e,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-IMP-DBF-01,poweredOn,False,,,Network adapter 1,V-SRV-75,,True,True,00:50:56:b4:16:85,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-IMP-DBF-01,poweredOn,False,,,Network adapter 2,VM Network,,True,True,00:50:56:b4:2b:be,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-IMP-DBF-01,poweredOn,False,,,Network adapter 3,VM Network,,True,True,00:50:56:b4:c4:bd,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-IMP-DBF-01,poweredOn,False,,,Network adapter 4,VM Network,,True,True,00:50:56:b4:1e:a9,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
