VM,Powerstate,Template,SRM Placeholder,Disk,Disk Key,Disk UUID,Disk Path,Capacity MiB,Raw,Disk Mode,Sharing mode,Thin,Eagerly Scrub,Split,Write Through,Level,Shares,Reservation,Limit,Controller,Label,SCSI Unit #,Unit #,Shared Bus,Path,Raw LUN ID,Raw Comp. Mode,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-BAN9-APP-04,poweredOn,False,,Hard disk 1,,,,102400.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-04] P-BAN9-APP-04/P-BAN9-APP-04-000002.vmdk,,,,,,,,,,,,,,,,,
P-BAN9-APP-04,poweredOn,False,,Hard disk 2,,,,61440.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-04] P-BAN9-APP-04/P-BAN9-APP-04_1-000002.vmdk,,,,,,,,,,,,,,,,,
P-BAN9-APP-04,poweredOn,False,,Hard disk 3,,,,81920.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,2,,[FS1-P-ESX-VM-04] P-BAN9-APP-04/P-BAN9-APP-04_2-000001.vmdk,,,,,,,,,,,,,,,,,
T-APP-ORPHEUS-01,poweredOn,False,,Hard disk 1,,,,71680.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-05] T-APP-ORPHEUS-01/T-APP-ORPHEUS-01-000007.vmdk,,,,,,,,,,,,,,,,,
P-ACR-CLOUD-03,poweredOn,False,,Hard disk 1,,,,8192.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-04] P-ACR-CLOUD-03/P-ACR-CLOUD-03.vmdk,,,,,,,,,,,,,,,,,
P-ACR-CLOUD-03,poweredOn,False,,Hard disk 2,,,,1024.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1001,,,0,,[FS1-P-ESX-VM-04] P-ACR-CLOUD-03/P-ACR-CLOUD-03_1.vmdk,,,,,,,,,,,,,,,,,
P-ACR-CLOUD-03,poweredOn,False,,Hard disk 3,,,,16384.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1002,,,0,,[FS1-P-ESX-VM-04] P-ACR-CLOUD-03/P-ACR-CLOUD-03_2.vmdk,,,,,,,,,,,,,,,,,
P-ACR-CLOUD-03,poweredOn,False,,Hard disk 4,,,,870410.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-07] P-IMP-MX-WAF-01/P-IMP-MX-WAF-01.vmdk,,,,,,,,,,,,,,,,,
T-APP-LIB-01,poweredOn,False,,Hard disk 1,,,,61440.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-05] T-APP-LIB-01/T-APP-LIB-01-000001.vmdk,,,,,,,,,,,,,,,,,
P-QUALYS-02,poweredOn,False,,Hard disk 1,,,,57344.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-03] P-QUALYS-02/P-QUALYS-02-000001.vmdk,,,,,,,,,,,,,,,,,
P-BAN9-BEPBRIM-01,poweredOn,False,,Hard disk 1,,,,102400.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-04] P-BAN9-BEPBRIM-01/P-BAN9-BEPBRIM-01-000001.vmdk,,,,,,,,,,,,,,,,,
P-BAN9-BEPBRIM-01,poweredOn,False,,Hard disk 2,,,,61440.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-04] P-BAN9-BEPBRIM-01/P-BAN9-BEPBRIM-01_1-000001.vmdk,,,,,,,,,,,,,,,,,
P-BAN9-BEPBRIM-01,poweredOn,False,,Hard disk 3,,,,81920.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,2,,[FS1-P-ESX-VM-04] P-BAN9-BEPBRIM-01/P-BAN9-BEPBRIM-01_2-000001.vmdk,,,,,,,,,,,,,,,,,
P-KOVM-CLC-01-CLON,poweredOn,False,,Hard disk 1,,,,204810.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-08] P-KOVM-CLC-01-CLON/P-KOVM-CLC-01-CLON_103-000001.vmdk,,,,,,,,,,,,,,,,,
P-KOVM-CLC-01-CLON,poweredOn,False,,Hard disk 2,,,,51210.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-08] P-KOVM-CLC-01-CLON/P-KOVM-CLC-01-CLON_105-000001.vmdk,,,,,,,,,,,,,,,,,
P-KOVM-CLC-01-CLON,poweredOn,False,,Hard disk 3,,,,51210.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,2,,[FS1-P-ESX-VM-08] P-KOVM-CLC-01-CLON/P-KOVM-CLC-01-CLON_107-000001.vmdk,,,,,,,,,,,,,,,,,
P-KOVM-CLC-01-CLON,poweredOn,False,,Hard disk 4,,,,51210.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,3,,[FS1-P-ESX-VM-08] P-KOVM-CLC-01-CLON/P-KOVM-CLC-01-CLON_109-000001.vmdk,,,,,,,,,,,,,,,,,
P-KOVM-CLC-01-CLON,poweredOn,False,,Hard disk 5,,,,51210.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,4,,[FS1-P-ESX-VM-08] P-KOVM-CLC-01-CLON/P-KOVM-CLC-01-CLON_111-000001.vmdk,,,,,,,,,,,,,,,,,
P-KOVM-CLC-01-CLON,poweredOn,False,,Hard disk 6,,,,51200.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,5,,[FS1-P-ESX-VM-08] P-KOVM-CLC-01-CLON/P-KOVM-CLC-01-CLON-000001.vmdk,,,,,,,,,,,,,,,,,
P-ACR-CLOUD-04,poweredOn,False,,Hard disk 1,,,,8192.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-07] P-ACR-CLOUD-04/P-ACR-CLOUD-04.vmdk,,,,,,,,,,,,,,,,,
P-ACR-CLOUD-04,poweredOn,False,,Hard disk 2,,,,1024.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1001,,,0,,[FS1-P-ESX-VM-07] P-ACR-CLOUD-04/P-ACR-CLOUD-04_1.vmdk,,,,,,,,,,,,,,,,,
P-ACR-CLOUD-04,poweredOn,False,,Hard disk 3,,,,16384.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1002,,,0,,[FS1-P-ESX-VM-07] P-ACR-CLOUD-04/P-ACR-CLOUD-04_2.vmdk,,,,,,,,,,,,,,,,,
T-THALES-CTM-01,poweredOn,False,,Hard disk 1,,,,61440.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-03] T-THALES-CTM-01/T-THALES-CTM-01-000001.vmdk,,,,,,,,,,,,,,,,,
P-NESSUS-01,poweredOn,False,,Hard disk 1,,,,102400.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-06] P-NESSUS-01/P-NESSUS-01-000001.vmdk,,,,,,,,,,,,,,,,,
P-ENGINE-GIZ-01,poweredOn,False,,Hard disk 1,,,,112650.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-04] P-ENGINE-GIZ-01-10/P-ENGINE-GIZ-01-10-000001.vmdk,,,,,,,,,,,,,,,,,
P-ZB-GRAFANA-01,poweredOn,False,,Hard disk 1,,,,81930.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-02] P-ZB-GRAFANA-01/P-ZB-GRAFANA-01-000004.vmdk,,,,,,,,,,,,,,,,,
P-BAN9-BATCH-01,poweredOn,False,,Hard disk 1,,,,102400.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-02] P-BAN9-BATCH-01/P-BAN9-BATCH-01_2-000002.vmdk,,,,,,,,,,,,,,,,,
P-BAN9-BATCH-01,poweredOn,False,,Hard disk 2,,,,204800.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-02] P-BAN9-BATCH-01/P-BAN9-BATCH-01_4-000002.vmdk,,,,,,,,,,,,,,,,,
P-BAN9-BATCH-01,poweredOn,False,,Hard disk 3,,,,81920.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,2,,[FS1-P-ESX-VM-02] P-BAN9-BATCH-01/P-BAN9-BATCH-01-000001.vmdk,,,,,,,,,,,,,,,,,
P-BAN9-APP-03,poweredOn,False,,Hard disk 1,,,,102400.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-03] P-BAN9-APP-03/P-BAN9-APP-03-000002.vmdk,,,,,,,,,,,,,,,,,
P-BAN9-APP-03,poweredOn,False,,Hard disk 2,,,,61440.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-03] P-BAN9-APP-03/P-BAN9-APP-03_1-000002.vmdk,,,,,,,,,,,,,,,,,
P-BAN9-APP-03,poweredOn,False,,Hard disk 3,,,,81920.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,2,,[FS1-P-ESX-VM-03] P-BAN9-APP-03/P-BAN9-APP-03_2-000001.vmdk,,,,,,,,,,,,,,,,,
P-BAN9-ETHOS-01,poweredOn,False,,Hard disk 1,,,,102400.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-02] P-BAN9-ETHOS-01/P-BAN9-ETHOS-01-000003.vmdk,,,,,,,,,,,,,,,,,
P-BAN9-ETHOS-01,poweredOn,False,,Hard disk 2,,,,61440.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-02] P-BAN9-ETHOS-01/P-BAN9-ETHOS-01_1-000003.vmdk,,,,,,,,,,,,,,,,,
P-BAN9-ETHOS-01,poweredOn,False,,Hard disk 3,,,,51200.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,2,,[FS1-P-ESX-VM-02] P-BAN9-ETHOS-01/P-BAN9-ETHOS-01_2-000002.vmdk,,,,,,,,,,,,,,,,,
P-NSS-01,poweredOn,False,,Hard disk 1,,,,30720.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-06] P-NSS-01/P-NSS-01.vmdk,,,,,,,,,,,,,,,,,
P-RADIUS-02,poweredOn,False,,Hard disk 1,,,,25600.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-01] P-RADIUS-02/P-RADIUS-02-000001.vmdk,,,,,,,,,,,,,,,,,
P-RADIUS-02,poweredOn,False,,Hard disk 2,,,,20480.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-01] P-RADIUS-02/P-RADIUS-02_1-000001.vmdk,,,,,,,,,,,,,,,,,
T-FORTIDATA-01,poweredOn,False,,Hard disk 1,,,,8192.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-06] T-FORTIDATA-01/T-FORTIDATA-01.vmdk,,,,,,,,,,,,,,,,,
T-FORTIDATA-01,poweredOn,False,,Hard disk 2,,,,524288.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-06] T-FORTIDATA-01/T-FORTIDATA-01_1.vmdk,,,,,,,,,,,,,,,,,
P-ZB-PROXY-OL9-02,poweredOn,False,,Hard disk 1,,,,51200.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-02] P-ZB-PROXY-OL9-02/P-ZB-PROXY-OL9-02.vmdk,,,,,,,,,,,,,,,,,
T-DB-GALERA-OL95-02,poweredOn,False,,Hard disk 1,,,,61440.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-07] T-DB-GALERA-OL95-02/T-DB-GALERA-OL95-02.vmdk,,,,,,,,,,,,,,,,,
P-BIBREPO-OLNX-01,poweredOn,False,,Hard disk 1,,,,112650.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-06] P-BIBREPO-OLNX-01/P-BIBREPO-OLNX-01-000005.vmdk,,,,,,,,,,,,,,,,,
P-BIBREPO-OLNX-01,poweredOn,False,,Hard disk 2,,,,204800.0,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-06] P-BIBREPO-OLNX-01/P-BIBREPO-OLNX-01_2-000005.vmdk,,,,,,,,,,,,,,,,,
P-DB-GALERA-OL9-02,poweredOn,False,,Hard disk 1,,,,61440.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-03] P-DB-GALERA-OL9-02/P-DB-GALERA-OL9-02_4-000003.vmdk,,,,,,,,,,,,,,,,,
P-DB-GALERA-OL9-03,poweredOn,False,,Hard disk 1,,,,61440.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-06] P-DB-GALERA-OL9-03/P-DB-GALERA-OL9-03_4-000003.vmdk,,,,,,,,,,,,,,,,,
P-WWW4-OL-01-NEW,poweredOn,False,,Hard disk 1,,,,112650.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-05] P-WWW4-OL-01-NEW/P-WWW4-OL-01-NEW.vmdk,,,,,,,,,,,,,,,,,
P-WWW4-OL-01-NEW,poweredOn,False,,Hard disk 2,,,,204810.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-05] P-WWW4-OL-01-NEW/P-WWW4-OL-01-NEW_1.vmdk,,,,,,,,,,,,,,,,,
T-DB-GALERA-OL95-03,poweredOn,False,,Hard disk 1,,,,61440.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-07] T-DB-GALERA-OL95-03/T-DB-GALERA-OL95-03.vmdk,,,,,,,,,,,,,,,,,
P-VC-01,poweredOn,False,,Hard disk 1,,,,49725.44,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-05] P-VC-01/P-VC-01-000001.vmdk,,,,,,,,,,,,,,,,,
P-VC-01,poweredOn,False,,Hard disk 2,,,,7045.12,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-05] P-VC-01/P-VC-01_1-000001.vmdk,,,,,,,,,,,,,,,,,
P-VC-01,poweredOn,False,,Hard disk 3,,,,25600.0,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,2,,[FS1-P-ESX-VM-05] P-VC-01/P-VC-01_2-000001.vmdk,,,,,,,,,,,,,,,,,
P-VC-01,poweredOn,False,,Hard disk 4,,,,51200.0,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,3,,[FS1-P-ESX-VM-05] P-VC-01/P-VC-01_3-000001.vmdk,,,,,,,,,,,,,,,,,
