VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspended To Memory,Suspend time,Suspend Interval,Creation date,Change Version,CPUs,Overall Cpu Readiness,Memory,Active Memory,NICs,Disks,Total disk capacity MiB,Fixed Passthru HotPlug,min Required EVC Mode Key,Latency Sensitivity,Op Notification Timeout,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder ID,Folder,vApp,DAS protection,FT State,FT Role,FT Latency,FT Bandwidth,FT Sec. Latency,Vm Failover In Progress,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Reboot PowerOff,EFI Secure boot,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,Customization Info,Guest Detailed Data,VM ID,SMBIOS UUID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID
P-MONITOREO-UCS,poweredOn,False,,,,,,,,,,,,,,4,,4096,,,,,,,,,,,172.21.64.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,,,4206d0f2-bac5-4653-23d3-6ee8d8273b29,,,,5006c2c7-9ef1-25c0-d9db-1cfb0c75e746
P-ZB-PROXY-01,poweredOn,False,,,,,,,,,,,,,,3,,8192,,,,,,,,,,,172.21.74.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,,,423480a9-b418-490f-7ee3-658fccfaf05c,,,,50348937-ecf3-568d-a70e-5645dcd02218
P-BAN9-APP-04,poweredOn,False,,,,,,,,,,,,,,4,,16384,,,,,,,,,,,172.21.85.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,,,4206aefb-ab92-1593-0d5a-71d53f690314,,,,50065739-67d2-24ba-23e2-89f73432d509
T-APP-ORPHEUS-01,poweredOn,False,,,,,,,,,,,,,,8,,8192,,,,,,,,,,,172.21.64.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,,,4206ee32-c614-dd01-911c-3ac0c491754e,,,,5006c9f6-f7ad-ef24-e08a-9d74b3bdce07
P-ACR-CLOUD-03,poweredOn,False,,,,,,,,,,,,,,4,,16384,,,,,,,,,,,10.78.78.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Other 6.x or later Linux (64-bit),,,,,,42065194-5ccd-be00-daa7-c5796f72e592,,,,500625ea-9235-da9f-baef-18997619a747
T-APP-LIB-01,poweredOn,False,,,,,,,,,,,,,,2,,4096,,,,,,,,,,,172.21.64.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,,,42061960-81e7-8b25-c368-825b61edc0fe,,,,5006c559-ad71-c7c5-088d-6f97a4a31258
P-QUALYS-02,poweredOn,False,,,,,,,,,,,,,,6,,12288,,,,,,,,,,,172.21.75.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Other Linux (64-bit),,,,,,4206a35b-2b6b-83dc-65c0-829fdb244fe3,,,,5006c1c2-539f-d02c-61b0-5973d9c5f75f
P-BAN9-BEPBRIM-01,poweredOn,False,,,,,,,,,,,,,,4,,16384,,,,,,,,,,,172.21.85.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,,,42068edb-1241-e6a5-c38d-50f77eb006d9,,,,50063a01-4c90-b7b6-6462-4c90f55baeac
P-KOVM-CLC-01-CLON,poweredOn,False,,,,,,,,,,,,,,4,,24576,,,,,,,,,,,172.21.85.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,,,42061de5-e99f-04ae-e6c0-559980db876b,,,,50064aeb-9879-534c-e44e-376c6bef7ae7
P-ACR-CLOUD-04,poweredOn,False,,,,,,,,,,,,,,4,,16384,,,,,,,,,,,10.78.78.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Other 6.x or later Linux (64-bit),,,,,,42064abf-ddfe-78a6-69e9-5f3be4c6e431,,,,50063268-6a01-3232-1352-79f3a81dfc13
T-THALES-CTM-01,poweredOn,False,,,,,,,,,,,,,,8,,24576,,,,,,,,,,,172.21.64.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Ubuntu Linux (64-bit),,,,,,420609a0-7bc5-5db1-f042-b6c1b6d2aaa8,,,,50067120-4abd-36f7-3e43-e375bf995ec5
P-NESSUS-01,poweredOn,False,,,,,,,,,,,,,,8,,12288,,,,,,,,,,,172.21.210.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Ubuntu Linux (64-bit),,,,,,4234ab0c-d0fd-4a67-7d42-8fca303d055c,,,,503417a5-96d5-4c3a-7e8e-b51ecc65d044
P-ENGINE-GIZ-01,poweredOn,False,,,,,,,,,,,,,,6,,12288,,,,,,,,,,,172.21.66.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,,,4206a461-79e7-d5fb-a50e-f1d43415a037,,,,50063d33-a993-418e-4458-2c5b32b83cb6
P-ZB-GRAFANA-01,poweredOn,False,,,,,,,,,,,,,,2,,12288,,,,,,,,,,,172.21.74.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,,,4234b213-3440-d970-aeef-fdaae1bf7e90,,,,5034c0d4-d2ca-da58-7bef-f20bfb2e6c4b
P-BAN9-BATCH-01,poweredOn,False,,,,,,,,,,,,,,4,,16384,,,,,,,,,,,172.21.85.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Oracle Linux 8 (64-bit),,,,,,42068928-62d1-cc0d-faf2-5064b42de985,,,,50069a60-b221-9a57-f45d-282cb78efddc
